Distribuição de probabilidade,Valor médio,Duração da Simulação,Quantidade de Requisições recebidas,Quantidade de Requisições atendidas,Tempo médio de atendimento,Quantidade média de elementos em espera
uniforme,4,5,817571,217083,0.465751162643,108480.164746
uniforme,4,5,217353,181128,0.151163468689,108615.23251
uniforme,4,5,519325,217033,0.324519981898,108454.137735
uniforme,4,5,384140,216905,0.115104823131,108391.175305
uniforme,4,5,602427,217737,0.151310752658,108807.339809
uniforme,4,5,218569,253,9.1880677717e-07,109222.135449
uniforme,4,5,216969,8156,0.00410543811152,108422.626127
uniforme,4,5,217161,253,4.57989839697e-07,108517.83818
uniforme,4,5,753789,217141,0.413493346701,108508.868812
uniforme,4,5,364646,217121,0.146463134234,108499.065098
uniforme,4,5,922410,216836,0.494311615129,108355.656684
uniforme,4,5,891810,216841,0.210091555982,108359.1575
uniforme,4,5,393032,217874,0.210643983712,108874.939781
uniforme,4,5,217236,59912,0.0333344118468,108555.959431
uniforme,4,5,216885,253,8.25512550565e-07,108379.81108
normal,4,5,238138,214492,0.382771998842,118998.44281
normal,4,5,237618,402,4.44015899262e-07,118737.697952
normal,4,5,256224,265,1.04470686479e-06,128044.969605
normal,4,5,257225,385,8.77504224901e-07,128546.31736
normal,4,5,247854,396,8.38490275594e-07,123859.033322
normal,4,5,241955,452,9.0165571733e-07,120907.076841
normal,4,5,252873,397,8.75646417791e-07,126369.401719
normal,4,5,233673,346,9.75968001725e-07,116763.664685
normal,4,5,237129,345,9.32619169161e-07,118492.685644
normal,4,5,252354,385,7.31976001294e-07,126109.574241
normal,4,5,227920,323,8.63880306095e-07,113885.272153
normal,4,5,240265,420,4.70644467837e-07,120062.246395
normal,4,5,248521,342,9.12802559989e-07,124191.947236
normal,4,5,247689,385,8.4654077307e-07,123775.800165
normal,4,5,249737,285,7.31976001294e-07,124800.596732
exponencial,4,5,25103,23177,0.359233382859,11549.1591507
exponencial,4,5,843677,3369,0.644984783141,1655.04338782
exponencial,4,5,12789,42,1.03882380894e-06,6355.15990304
exponencial,4,5,122031,21650,0.151323188474,10785.1536863
exponencial,4,5,544510,4091,0.15136024967,2009.7432697
exponencial,4,5,223648,11151,0.230201568928,5536.91587444
exponencial,4,5,204664,17089,0.465627392094,8504.81224394
exponencial,4,5,967242,18364,0.701296348841,9145.96797211
exponencial,4,5,592014,6130,0.513635646287,3027.62138776
exponencial,4,5,586844,11156,0.697697957173,5538.32879046
exponencial,4,5,574850,20364,0.757647431493,10144.4277715
exponencial,4,5,204747,20180,0.382771998842,10053.9981663
exponencial,4,5,1659519,11538,0.407725605209,5738.83045703
exponencial,4,5,265395,10435,0.125042334434,5182.45471101
exponencial,4,5,1583,42,1.15235646566e-06,771.394819962
